Week,Google Trends Attention,Weekly Stock Price
2013-12-30,36,9.970666885375977
2014-01-06,41,9.714667320251465
2014-01-13,35,11.333999633789062
2014-01-20,37,11.640000343322754
2014-01-27,34,12.093999862670898
2014-02-03,36,12.435333251953123
2014-02-10,48,13.215332984924316
2014-02-17,58,13.973333358764648
2014-02-24,45,16.320667266845703
2014-03-03,47,16.413999557495117
2014-03-10,45,15.39799976348877
2014-03-17,44,15.259332656860352
2014-03-24,56,14.157999992370604
2014-03-31,43,14.148667335510254
2014-04-07,40,13.585332870483398
2014-04-14,45,13.208000183105469
2014-04-21,42,13.32333278656006
2014-04-28,48,14.060667037963867
2014-05-05,54,12.150667190551758
2014-05-12,40,12.77066707611084
2014-05-19,41,13.81999969482422
2014-05-26,44,13.851332664489746
2014-06-02,50,13.878000259399414
2014-06-09,49,13.761333465576172
2014-06-16,40,15.305999755859377
2014-06-23,44,15.937333106994627
2014-06-30,53,15.283332824707031
2014-07-07,54,14.541999816894531
2014-07-14,47,14.66800022125244
2014-07-21,48,14.904666900634766
2014-07-28,46,15.5513334274292
2014-08-04,44,16.54199981689453
2014-08-11,46,17.46733283996582
2014-08-18,44,17.118667602539062
2014-08-25,49,17.979999542236328
2014-09-01,46,18.49266624450684
2014-09-08,43,18.61333274841309
2014-09-15,43,17.288000106811523
2014-09-22,49,16.440000534057617
2014-09-29,74,17.013999938964844
2014-10-06,57,15.793999671936035
2014-10-13,49,15.165332794189451
2014-10-20,46,15.682666778564451
2014-10-27,45,16.113332748413086
2014-11-03,43,16.01333236694336
2014-11-10,42,17.245332717895508
2014-11-17,42,16.185333251953125
2014-11-24,41,16.301332473754883
2014-12-01,39,14.913999557495115
2014-12-08,41,13.800000190734863
2014-12-15,44,14.619333267211914
2014-12-22,45,15.187999725341797
2014-12-29,42,14.620667457580566
2015-01-05,48,13.77733325958252
2015-01-12,45,12.871333122253418
2015-01-19,66,13.419333457946776
2015-01-26,52,13.57333278656006
2015-02-02,54,14.490667343139648
2015-02-09,54,13.584667205810549
2015-02-16,49,14.473999977111816
2015-02-23,42,13.555999755859377
